Date,Address,Name,Class,Archetype,Expansion,DeckScore,Card1,Card2,Card3,Card4,Card5,Card6,Card7,Card8,Card9,Card10,Card11,Card12,Card13,Card14,Card15,Card16,Card17,Card18,Card19,Card20,Card21,Card22,Card23,Card24,Card25,Card26,Card27,Card28,Card29,Card30,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Wins,Bucket1,Bucket2
2015-02-27,https://www.heartharena.com/arena-run/z3a3a2,z3a3a2,Mage,Classic Control,GvG,65.2,Arcane Explosion,Flamecannon,Mana Wyrm,Murloc Tidehunter,Snowchugger,Sunfury Protector,Arcane Intellect,Ogre Brute,Soot Spewer,Southsea Captain,Spider Tank,Arcane Nullifier X-21,Cult Master,Fireball,Polymorph,Sen'jin Shieldmasta,Water Elemental,Azure Drake,Mimiron's Head,Spiteful Smith,Stranglethorn Tiger,Frost Elemental,Sunwalker,Flamestrike,Force-Tank MAX,,,,,,1,1,1,1,2,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,2.0,1.0,1.0,1.0,,,,,,12,2,High
2015-02-28,https://www.heartharena.com/arena-run/ra9r13,ra9r13,Druid,Mid-Range,GvG,62.3,Elven Archer,Worgen Infiltrator,Anodized Robo Cub,Crazed Alchemist,Mark of the Wild,Mechwarper,Wrath,Ironfur Grizzly,Questing Adventurer,Savage Roar,Spider Tank,Wild Growth,Arcane Nullifier X-21,Cult Master,Dark Iron Dwarf,Kezan Mystic,Lost Tallstrider,Mechanical Yeti,Swipe,Frostwolf Warlord,Spectral Knight,Spiteful Smith,Starfall,Ancient of Lore,Stormwind Champion,Ironbark Protector,,,,,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,1,1.0,1.0,1.0,1.0,1.0,,,,,6,1,Low
2015-03-01,https://www.heartharena.com/arena-run/xoc3p4,xoc3p4,Paladin,Mid-Range,GvG,66.1,Redemption,Worgen Infiltrator,Amani Berserker,Mad Bomber,River Crocolisk,Shielded Minibot,Stonesplinter Trogg,Youthful Brewmaster,Coghammer,Earthen Ring Farseer,Emperor Cobra,Harvest Golem,Ancient Brewmaster,Blessing of Kings,Consecration,Dark Iron Dwarf,Gnomish Inventor,Stormwind Knight,Truesilver Champion,Booty Bay Bodyguard,Darkscale Healer,Fen Creeper,Madder Bomber,Stranglethorn Tiger,Illidan Stormrage,Stormwind Champion,Force-Tank MAX,,,,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,,,,8,1,High
2015-03-01,https://www.heartharena.com/arena-run/mq0mxo,mq0mxo,Shaman,Classic Control,GvG,67.9,Earth Shock,Forked Lightning,Frost Shock,Crackle,Dire Wolf Alpha,Mad Bomber,Micro Machine,Ship's Cannon,Stormforged Axe,Earthen Ring Farseer,Feral Spirit,Powermace,Chillwind Yeti,Cult Master,Gnomish Inventor,Hex,Stormwind Knight,Violet Teacher,Azure Drake,Bomb Lobber,Silver Hand Knight,Sludge Belcher,Stranglethorn Tiger,Venture Co. Mercenary,Fire Elemental,Piloted Sky Golem,Force-Tank MAX,,,,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,2.0,1.0,1.0,,,,12,2,High
2015-03-01,https://www.heartharena.com/arena-run/76yg64,76yg64,Rogue,Tempo,GvG,65.6,Deadly Poison,Betrayal,Bluegill Warrior,Crazed Alchemist,Defias Ringleader,Eviscerate,Goblin Auto-Barber,Sunfury Protector,Earthen Ring Farseer,Fan of Knives,Ogre Brute,Perdition's Blade,Shattered Sun Cleric,Spider Tank,Anub'ar Ambusher,Ogre Magi,Piloted Shredder,Tinker's Sharpsword Oil,Violet Teacher,Assassin's Blade,Frostwolf Warlord,Spectral Knight,Spiteful Smith,Stampeding Kodo,Stranglethorn Tiger,Boulderfist Ogre,Stormwind Champion,,,,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,3.0,1.0,1.0,1.0,1.0,,,,5,1,Low
2015-03-01,https://www.heartharena.com/arena-run/w20585,w20585,Shaman,Tempo,GvG,61.8,Earth Shock,Forked Lightning,Acidic Swamp Ooze,Bluegill Warrior,Crackle,Faerie Dragon,Mad Bomber,Stormforged Axe,Blood Knight,Flametongue Totem,Gnomish Experimenter,Illuminator,Murloc Warleader,Ancient Brewmaster,Chillwind Yeti,Dark Iron Dwarf,Spellbreaker,Bloodlust,Captain Greenskin,Doomhammer,Sludge Belcher,Spectral Knight,Boulderfist Ogre,Frost Elemental,Force-Tank MAX,,,,,,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2.0,1.0,2.0,1.0,,,,,,0,0,Zero
2015-03-02,https://www.heartharena.com/arena-run/1iswhz,1iswhz,Priest,Mid-Range,GvG,64.5,Holy Smite,Northshire Cleric,Power Word: Shield,Divine Spirit,Haunted Creeper,Mad Bomber,Shadow Word: Pain,Shadowboxer,Wild Pyromancer,Youthful Brewmaster,Earthen Ring Farseer,Emperor Cobra,Ogre Brute,Spider Tank,Velen's Chosen,Burly Rockjaw Trogg,Dark Iron Dwarf,Lightspawn,Lost Tallstrider,Shadow Madness,Holy Nova,Madder Bomber,Upgraded Repair Bot,Venture Co. Mercenary,Priestess of Elune,Sunwalker,Temple Enforcer,Ravenholdt Assassin,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,7,1,High
2015-03-02,https://www.heartharena.com/arena-run/6n1yx6,6n1yx6,Mage,Classic Control,GvG,66.3,Zombie Chow,Dire Wolf Alpha,Frostbolt,Haunted Creeper,Murloc Tidehunter,Snowchugger,Sorcerer's Apprentice,Emperor Cobra,Ogre Brute,Soot Spewer,Ancient Mage,Chillwind Yeti,Cone of Cold,Fireball,Mini-Mage,Piloted Shredder,Twilight Drake,Water Elemental,Booty Bay Bodyguard,Spectral Knight,Stormpike Commando,Stranglethorn Tiger,Argent Commander,Flamestrike,,,,,,,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1.0,1.0,5.0,,,,,,,4,0,Low
2015-03-02,https://www.heartharena.com/arena-run/t0wk62,t0wk62,Paladin,Classic Aggro,GvG,69.9,Clockwork Gnome,Argent Protector,Crazed Alchemist,Micro Machine,Seal of Light,Youthful Brewmaster,Coghammer,Harvest Golem,Questing Adventurer,Spider Tank,Blessing of Kings,Consecration,Cult Master,Defender of Argus,Ogre Magi,Spellbreaker,Truesilver Champion,Twilight Drake,Silver Hand Knight,Spectral Knight,Frost Elemental,Stormwind Champion,,,,,,,,,1,4,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,2,1,1,1,2.0,,,,,,,,,8,1,High
2015-03-03,https://www.heartharena.com/arena-run/jqb79e,jqb79e,Warlock,Mid-Range,GvG,65.1,Argent Squire,Flame Imp,Mortal Coil,Soulfire,Worgen Infiltrator,Darkbomb,Faerie Dragon,River Crocolisk,Ship's Cannon,Drain Life,Gnomish Experimenter,Ironfur Grizzly,Mind Control Tech,Raging Worgen,Shadow Bolt,Defender of Argus,Hellfire,Oasis Snapjaw,Piloted Shredder,Voidcaller,Azure Drake,Floating Watcher,Spectral Knight,Dread Infernal,Siphon Soul,Sunwalker,Stormwind Champion,,,,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,2.0,1.0,1.0,1.0,1.0,,,,6,1,Low
2015-03-03,https://www.heartharena.com/arena-run/6cu79a,6cu79a,Warrior,Aggro-Control,GvG,65.1,Leper Gnome,Amani Berserker,Cleave,Commanding Shout,Execute,Loot Hoarder,Wild Pyromancer,Bouncing Blade,Fiery War Axe,Harvest Golem,Jungle Panther,Ogre Brute,Scarlet Crusader,Shield Block,Warsong Commander,Burly Rockjaw Trogg,Cult Master,Death's Bite,Defender of Argus,Kor'kron Elite,Piloted Shredder,Sen'jin Shieldmasta,Arcanite Reaper,Darkscale Healer,Spiteful Smith,Stampeding Kodo,Stranglethorn Tiger,Sea Giant,,,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,11,2,High
2015-03-06,https://www.heartharena.com/arena-run/1wy2nm,1wy2nm,Warrior,Aggro-Control,GvG,66.4,Zombie Chow,Commanding Shout,Cruel Taskmaster,Faerie Dragon,Mad Bomber,Micro Machine,Fiery War Axe,Flesheating Ghoul,Frothing Berserker,Harvest Golem,Raging Worgen,Spider Tank,Ancient Brewmaster,Arcane Nullifier X-21,Dark Iron Dwarf,Death's Bite,Dread Corsair,Gnomish Inventor,Kor'kron Elite,Arcanite Reaper,Big Game Hunter,Gurubashi Berserker,Stranglethorn Tiger,Boulderfist Ogre,Stormwind Champion,Ragnaros the Firelord,,,,,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1.0,1.0,1.0,1.0,1.0,,,,,10,2,High
2015-03-24,https://www.heartharena.com/arena-run/q8q0wl,q8q0wl,Priest,Attrition,GvG,64.5,Northshire Cleric,Annoy-o-Tron,Bloodsail Raider,Faerie Dragon,Loot Hoarder,Mad Bomber,Shadow Word: Pain,Sunfury Protector,Dark Cultist,Spider Tank,Burly Rockjaw Trogg,Gnomish Inventor,Piloted Shredder,Sen'jin Shieldmasta,Shadow Madness,Twilight Drake,Darkscale Healer,Holy Nova,Silver Hand Knight,Stampeding Kodo,Stranglethorn Tiger,Upgraded Repair Bot,Lightbomb,Windfury Harpy,Core Hound,Mind Control,,,,,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,2.0,,,,,4,0,Low
2015-03-24,https://www.heartharena.com/arena-run/dx4e99,dx4e99,Shaman,Aggro-Control,GvG,64.9,Ancestral Healing,Argent Squire,Stonetusk Boar,Worgen Infiltrator,Zombie Chow,Bluegill Warrior,Crackle,Gilblin Stalker,Haunted Creeper,Rockbiter Weapon,Stormforged Axe,Flametongue Totem,Harvest Golem,Lightning Storm,Spider Tank,Wolfrider,Ancient Brewmaster,Chillwind Yeti,Hex,Wailing Soul,Azure Drake,Bloodlust,Bomb Lobber,Fel Reaver,Silver Hand Knight,Stranglethorn Tiger,,,,,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,2.0,,,,,8,1,High
2015-03-27,https://www.heartharena.com/arena-run/m1vcp7,m1vcp7,Shaman,Tempo,GvG,62.8,Earth Shock,Forked Lightning,Worgen Infiltrator,Zombie Chow,Crackle,Crazed Alchemist,Murloc Tidehunter,Novice Engineer,Rockbiter Weapon,Ship's Cannon,Stormforged Axe,Youthful Brewmaster,Flametongue Totem,Gnomeregan Infantry,Harvest Golem,Jungle Panther,Lightning Storm,Mana Tide Totem,Shattered Sun Cleric,Spider Tank,Chillwind Yeti,Hex,Ogre Magi,Sen'jin Shieldmasta,Madder Bomber,Stranglethorn Tiger,Fire Elemental,Lord of the Arena,War Golem,Molten Giant,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,1,Low
2015-04-27,https://www.heartharena.com/arena-run/11b1aa,11b1aa,Warrior,Tempo,BRM,64.8,Worgen Infiltrator,Acidic Swamp Ooze,Bloodsail Raider,Cruel Taskmaster,Execute,Revenge,Slam,Wild Pyromancer,Arcane Golem,Fiery War Axe,Flesheating Ghoul,Ironfur Grizzly,Raging Worgen,Spider Tank,Warsong Commander,Arathi Weaponsmith,Arcane Nullifier X-21,Cult Master,Dark Iron Dwarf,Death's Bite,Kor'kron Elite,Piloted Shredder,Arcanite Reaper,Madder Bomber,Argent Commander,War Golem,Grommash Hellscream,,,,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,,,,4,0,Low
2016-06-22,https://www.heartharena.com/arena-run/t032by,t032by,Rogue,Attrition,WOG,70.3,Zombie Chow,Huge Toad,Patient Assassin,Fan of Knives,Harvest Golem,Light's Champion,Mind Control Tech,Silithid Swarmer,Spawn of N'Zoth,Unearthed Raptor,Ancient Brewmaster,Cult Master,Evil Heckler,Piloted Shredder,Polluted Hoarder,Tomb Pillager,Assassinate,Dark Iron Skulker,Pit Fighter,Psych-o-Tron,Stranglethorn Tiger,Drakonid Crusher,Nerubian Prophet,Bog Creeper,,,,,,,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,2,1,1.0,1.0,1.0,,,,,,,8,1,High
2016-06-23,https://www.heartharena.com/arena-run/27bz9x,27bz9x,Rogue,Attrition,WOG,67.2,Backstab,Bladed Cultist,Eviscerate,Stonesplinter Trogg,Sunfury Protector,Twisted Worgen,Undercity Huckster,Emperor Cobra,Ogre Brute,Shadow Strike,Spawn of N'Zoth,Chillwind Yeti,Frigid Snobold,Polluted Hoarder,Sabotage,Tomb Pillager,Tomb Spider,Shado-Pan Rider,Spiteful Smith,Stampeding Kodo,Boulderfist Ogre,Kidnapper,Scaled Nightmare,Bog Creeper,Sprint,Fossilized Devilsaur,,,,,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,,,,,9,2,High
2016-06-23,https://www.heartharena.com/arena-run/mkqp1c,mkqp1c,Warlock,Classic Aggro,WOG,67.6,Blood Imp,Murloc Raider,Possessed Villager,Soulfire,Stonetusk Boar,Dark Peddler,Flame Juggler,Kobold Geomancer,Loot Hoarder,Micro Machine,Nerubian Egg,Stonesplinter Trogg,Coliseum Manager,Darkshire Councilman,Felguard,Imp Gang Boss,Shattered Sun Cleric,Hellfire,Pit Lord,Spellbreaker,Doomguard,Fen Creeper,Psych-o-Tron,Sludge Belcher,Volcanic Drake,Bog Creeper,North Sea Kraken,,,,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,,,,2,0,Low
2016-06-23,https://www.heartharena.com/arena-run/1w2n02,1w2n02,Mage,Attrition,WOG,68.3,Forbidden Flame,Clockwork Gnome,Frostbolt,Loot Hoarder,Mechwarper,Novice Engineer,Wild Pyromancer,Youthful Brewmaster,Arcane Intellect,Harvest Golem,Imp Master,Mirror Entity,Twilight Flamecaller,Aberrant Berserker,Fireball,Gnomish Inventor,Hungry Dragon,Infested Tauren,Mechanical Yeti,Clockwork Knight,Ethereal Conjurer,Flame Lance,Faceless Summoner,Bog Creeper,Foe Reaper 4000,,,,,,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2.0,1.0,1.0,1.0,,,,,,9,2,High
2016-06-24,https://www.heartharena.com/arena-run/lr9f92,lr9f92,Mage,Attrition,WOG,71.3,Forbidden Flame,Argent Squire,Haunted Creeper,Mad Scientist,Mana Wyrm,Puddlestomper,Youthful Brewmaster,Dragonhawk Rider,Earthen Ring Farseer,Mind Control Tech,Razorfen Hunter,Spellslinger,Twilight Flamecaller,Animated Armor,Defender of Argus,Fireball,Gnomish Inventor,Sen'jin Shieldmasta,Cabalist's Tome,Ethereal Conjurer,Flame Lance,Pit Fighter,Psych-o-Tron,Sludge Belcher,Faceless Summoner,Nerubian Prophet,Bog Creeper,Flamestrike,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,12,2,High
2016-06-24,https://www.heartharena.com/arena-run/6w2wmn,6w2wmn,Warrior,Tempo,WOG,65.0,Elven Archer,N'Zoth's First Mate,Battle Rage,Cleave,Execute,Mechwarper,Recombobulator,Twisted Worgen,Frothing Berserker,Orgrimmar Aspirant,Ravaging Ghoul,Squirming Tentacle,Wolfrider,Arcane Nullifier X-21,Bloodhoof Brave,Evil Heckler,Lost Tallstrider,Polluted Hoarder,Screwjank Clunker,Stormwind Knight,Bomb Lobber,Psych-o-Tron,Siege Engine,Venture Co. Mercenary,Corrupted Seer,Bog Creeper,Stormwind Champion,,,,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,2.0,1.0,1.0,1.0,1.0,,,,4,0,Low
2016-06-25,https://www.heartharena.com/arena-run/4pu8m1,4pu8m1,Hunter,Mid-Range,WOG,69.6,On the Hunt,Zombie Chow,Bluegill Warrior,Gilblin Stalker,Huge Toad,Hunter's Mark,Loot Hoarder,Quick Shot,Earthen Ring Farseer,Metaltooth Leaper,Shattered Sun Cleric,Unleash the Hounds,Aberrant Berserker,Core Rager,Houndmaster,Oasis Snapjaw,Tomb Spider,Explosive Shot,Mukla's Champion,Pit Fighter,Stampeding Kodo,Nerubian Prophet,Savannah Highmane,Onyxia,,,,,,,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1.0,2.0,1.0,,,,,,,10,2,High
2016-06-26,https://www.heartharena.com/arena-run/92q722,92q722,Paladin,Classic Aggro,WOG,64.0,Abusive Sergeant,Avenge,Divine Strength,Dragon Egg,Light's Justice,Noble Sacrifice,Redemption,A Light in the Darkness,Amani Berserker,Argent Lance,Haunted Creeper,Mad Scientist,Micro Machine,Puddlestomper,Shielded Minibot,Gnomish Experimenter,Illuminator,Ogre Brute,Tinkertown Technician,Consecration,Dragonling Mechanic,Infested Tauren,Keeper of Uldaman,Twilight Drake,Frostwolf Warlord,Sludge Belcher,Spiteful Smith,Kodorider,Stormwind Champion,,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2,0,Low
2016-06-26,https://www.heartharena.com/arena-run/yqq192,yqq192,Rogue,Mid-Range,WOG,64.8,Clockwork Gnome,Bloodsail Raider,Eviscerate,Loot Hoarder,Micro Machine,Novice Engineer,Sap,Twisted Worgen,Fan of Knives,Iron Sensei,Light's Champion,Perdition's Blade,Raging Worgen,Scarlet Crusader,Shady Dealer,Unearthed Raptor,Anub'ar Ambusher,Gorillabot A-3,Piloted Shredder,Tomb Pillager,Blackwing Corruptor,Silver Hand Knight,Spiteful Smith,Boulderfist Ogre,Kidnapper,Lord of the Arena,Bog Creeper,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1.0,1.0,1.0,1.0,1.0,1.0,,,,11,2,High
2016-06-26,https://www.heartharena.com/arena-run/p732em,p732em,Mage,Mid-Range,WOG,67.4,Argent Squire,Young Priestess,Zombie Chow,Bilefin Tidehunter,Dire Wolf Alpha,Fallen Hero,Snowchugger,Sorcerer's Apprentice,Stonesplinter Trogg,Forgotten Torch,Goblin Sapper,Raging Worgen,Southsea Captain,Spellslinger,Aberrant Berserker,Arcane Nullifier X-21,Chillwind Yeti,Defender of Argus,Sen'jin Shieldmasta,Water Elemental,Ethereal Conjurer,Flame Lance,Mukla's Champion,Pit Fighter,Argent Commander,Faceless Summoner,Bog Creeper,Stormwind Champion,Eldritch Horror,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,6,1,Low
